,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
7806,6000.0,6000.0, 36 ,0.1148,197.82,2.0,7 years,RENT,35000.0,Not Verified,2009.0,debt_consolidation,FL,15.67,0.0,1.0,5.0,0.0,6433.0,0.48700000000000004,9.0,1.0
7807,10000.0,10000.0, 36 ,0.16,351.58,5.0,8 years,RENT,85000.0,Verified,2009.0,debt_consolidation,NJ,8.6,0.0,2.0,12.0,0.0,9132.0,0.365,19.0,1.0
7808,15600.0,15600.0, 60 ,0.1562,376.22,4.0,10+ years,MORTGAGE,150000.0,Source Verified,2011.0,house,MO,4.45,0.0,4.0,14.0,0.0,1782.0,0.059000000000000004,21.0,1.0
7809,3250.0,3250.0, 36 ,0.07139999999999999,100.56,1.0,2 years,MORTGAGE,39000.0,Not Verified,2010.0,debt_consolidation,GA,22.65,0.0,2.0,14.0,0.0,24455.0,0.529,32.0,0.0
7810,8000.0,8000.0, 36 ,0.07139999999999999,247.52,1.0,3 years,MORTGAGE,65000.0,Not Verified,2010.0,debt_consolidation,MN,16.82,0.0,0.0,10.0,0.0,9191.0,0.19,26.0,1.0
7811,4500.0,4500.0, 36 ,0.1284,151.29,3.0,10+ years,RENT,40000.0,Source Verified,2009.0,major_purchase,NM,1.95,0.0,2.0,4.0,0.0,337.0,0.03,6.0,1.0
7812,12000.0,12000.0, 36 ,0.0788,375.38,1.0,9 years,MORTGAGE,160000.0,Verified,2010.0,major_purchase,FL,10.6,0.0,0.0,10.0,0.0,40287.0,0.32,29.0,1.0
7813,24250.0,16750.0, 36 ,0.1149,552.27,2.0,8 years,OWN,59004.0,Verified,2010.0,debt_consolidation,SC,16.66,0.0,0.0,9.0,0.0,30034.0,0.6759999999999999,17.0,1.0
7814,10000.0,10000.0, 36 ,0.0729,310.1,1.0,10+ years,MORTGAGE,73000.0,Source Verified,2011.0,debt_consolidation,OH,17.41,0.0,0.0,9.0,0.0,49707.0,0.815,21.0,1.0
7815,4000.0,4000.0, 36 ,0.079,125.17,1.0,< 1 year,RENT,26400.0,Not Verified,2011.0,debt_consolidation,LA,12.73,1.0,2.0,10.0,0.0,2361.0,0.08800000000000001,31.0,1.0
7816,25000.0,25000.0, 36 ,0.1459,861.63,4.0,10+ years,RENT,139000.0,Verified,2010.0,credit_card,CA,14.71,0.0,0.0,10.0,0.0,19084.0,0.606,13.0,1.0
7817,10000.0,10000.0, 36 ,0.1483,345.83,4.0,7 years,MORTGAGE,78652.0,Not Verified,2010.0,debt_consolidation,TX,23.07,0.0,0.0,12.0,1.0,4780.0,0.8540000000000001,22.0,1.0
7818,19700.0,19700.0, 60 ,0.1199,438.12,2.0,2 years,MORTGAGE,37800.0,Source Verified,2011.0,debt_consolidation,OK,19.9,0.0,1.0,10.0,0.0,11440.0,0.364,18.0,0.0
7819,9550.0,9550.0, 60 ,0.15990000000000001,232.19,4.0,10+ years,MORTGAGE,50000.0,Not Verified,2011.0,credit_card,NJ,18.12,0.0,0.0,6.0,0.0,12252.0,0.875,9.0,1.0
7820,16000.0,16000.0, 36 ,0.1479,553.01,3.0,2 years,MORTGAGE,100000.0,Source Verified,2011.0,medical,GA,0.91,0.0,1.0,11.0,0.0,0.0,0.0,28.0,1.0
7821,7200.0,7200.0, 36 ,0.08,225.62,1.0,10+ years,RENT,42996.0,Not Verified,2009.0,debt_consolidation,AZ,9.55,0.0,1.0,6.0,0.0,9866.0,0.5870000000000001,18.0,1.0
7822,3000.0,3000.0, 36 ,0.0729,93.03,1.0,< 1 year,RENT,36000.0,Source Verified,2011.0,other,NC,5.0,0.0,0.0,5.0,0.0,4663.0,0.606,9.0,1.0
7823,9250.0,9250.0, 36 ,0.1112,303.36,2.0,6 years,MORTGAGE,42000.0,Source Verified,2010.0,debt_consolidation,CO,24.09,0.0,1.0,9.0,0.0,27653.0,0.6679999999999999,16.0,1.0
7826,18000.0,18000.0, 36 ,0.1075,587.17,2.0,3 years,MORTGAGE,108639.0,Verified,2010.0,credit_card,TX,13.35,0.0,0.0,8.0,0.0,19141.0,0.769,47.0,1.0
7827,8500.0,8500.0, 36 ,0.1349,288.41,3.0,6 years,RENT,30000.0,Not Verified,2011.0,small_business,CA,23.68,1.0,3.0,7.0,0.0,5796.0,0.317,28.0,1.0
7828,6000.0,6000.0, 36 ,0.1379,204.46,3.0,2 years,RENT,50004.0,Source Verified,2009.0,wedding,NJ,17.59,0.0,2.0,10.0,0.0,8523.0,0.546,11.0,1.0
7829,2100.0,2100.0, 36 ,0.1311,70.87,3.0,5 years,MORTGAGE,24000.0,Not Verified,2010.0,debt_consolidation,CA,11.6,0.0,0.0,5.0,0.0,5468.0,0.39899999999999997,13.0,1.0
7830,5000.0,5000.0, 36 ,0.1565,174.93,4.0,3 years,MORTGAGE,25380.0,Source Verified,2011.0,debt_consolidation,CT,7.85,0.0,2.0,6.0,0.0,4287.0,0.7390000000000001,7.0,1.0
7831,18400.0,18400.0, 36 ,0.0599,559.69,1.0,10+ years,MORTGAGE,100000.0,Source Verified,2011.0,debt_consolidation,NJ,17.89,0.0,0.0,12.0,0.0,21030.0,0.251,23.0,1.0
7832,7000.0,7000.0, 36 ,0.12990000000000002,235.83,3.0,1 year,MORTGAGE,55000.0,Source Verified,2011.0,small_business,TX,22.06,1.0,0.0,7.0,0.0,15886.0,0.9079999999999999,16.0,0.0
7834,10800.0,10800.0, 36 ,0.0962,346.57,2.0,< 1 year,RENT,75000.0,Verified,2010.0,debt_consolidation,VA,20.82,0.0,0.0,16.0,0.0,5877.0,0.387,23.0,1.0
7835,3400.0,3400.0, 36 ,0.15990000000000001,119.52,4.0,5 years,RENT,60000.0,Source Verified,2011.0,wedding,IL,0.84,1.0,0.0,5.0,0.0,1509.0,0.503,9.0,1.0
7836,2100.0,2100.0, 36 ,0.0676,64.62,1.0,unknown,RENT,11292.0,Not Verified,2010.0,debt_consolidation,UT,23.06,0.0,0.0,7.0,0.0,6075.0,0.293,13.0,1.0
7837,22000.0,22000.0, 36 ,0.1059,715.99,2.0,5 years,MORTGAGE,80000.0,Verified,2011.0,debt_consolidation,FL,26.52,1.0,0.0,12.0,0.0,41845.0,0.73,39.0,1.0
7839,8000.0,8000.0, 36 ,0.1074,260.93,2.0,10+ years,MORTGAGE,103000.0,Source Verified,2011.0,home_improvement,TX,10.1,0.0,0.0,7.0,1.0,6483.0,0.648,29.0,1.0
7840,6000.0,6000.0, 36 ,0.1149,197.83,2.0,3 years,RENT,84000.0,Not Verified,2011.0,debt_consolidation,WA,14.27,0.0,2.0,6.0,0.0,19736.0,0.629,8.0,1.0
7841,10000.0,10000.0, 36 ,0.0617,305.0,1.0,4 years,RENT,50000.0,Verified,2010.0,credit_card,CA,17.06,0.0,0.0,7.0,0.0,9843.0,0.6559999999999999,21.0,1.0
7842,4500.0,4500.0, 36 ,0.0542,135.72,1.0,10+ years,MORTGAGE,25200.0,Not Verified,2011.0,debt_consolidation,MA,4.86,0.0,0.0,5.0,0.0,4346.0,0.174,25.0,1.0
7843,2500.0,2500.0, 36 ,0.0751,77.78,1.0,10+ years,MORTGAGE,72000.0,Not Verified,2010.0,major_purchase,SC,7.05,0.0,0.0,4.0,0.0,0.0,0.0,17.0,1.0
7844,6000.0,6000.0, 36 ,0.0699,185.24,1.0,< 1 year,RENT,55182.4,Verified,2011.0,other,FL,20.75,0.0,1.0,9.0,0.0,5735.0,0.597,23.0,1.0
7845,9000.0,9000.0, 36 ,0.0542,271.44,1.0,10+ years,MORTGAGE,266000.0,Verified,2010.0,home_improvement,WA,5.54,0.0,0.0,7.0,0.0,17076.0,0.215,29.0,1.0
7846,6000.0,6000.0, 36 ,0.1199,199.26,2.0,2 years,OWN,19200.0,Source Verified,2011.0,credit_card,MI,14.19,0.0,3.0,6.0,0.0,3419.0,0.8140000000000001,15.0,1.0
7847,15000.0,15000.0, 60 ,0.1349,345.08,3.0,10+ years,MORTGAGE,54000.0,Not Verified,2011.0,debt_consolidation,LA,21.6,0.0,1.0,7.0,0.0,22800.0,0.7240000000000001,25.0,1.0
7848,24000.0,24000.0, 36 ,0.0751,746.66,1.0,4 years,MORTGAGE,86000.0,Verified,2011.0,debt_consolidation,GA,3.46,0.0,0.0,9.0,0.0,504.0,0.015,29.0,1.0
7849,12200.0,12200.0, 60 ,0.1199,271.33,2.0,1 year,RENT,54000.0,Source Verified,2011.0,credit_card,OR,16.2,0.0,0.0,6.0,0.0,13083.0,0.667,9.0,1.0
7850,18000.0,18000.0, 60 ,0.1751,452.3,5.0,6 years,MORTGAGE,56720.0,Verified,2011.0,medical,CA,6.64,1.0,0.0,11.0,0.0,9599.0,0.616,22.0,1.0
7851,1000.0,1000.0, 36 ,0.09880000000000001,32.22,2.0,10+ years,MORTGAGE,78000.0,Verified,2010.0,credit_card,CA,24.46,0.0,2.0,6.0,0.0,9886.0,0.875,49.0,1.0
7852,2400.0,2400.0, 36 ,0.16820000000000002,85.36,5.0,< 1 year,RENT,13000.0,Not Verified,2010.0,debt_consolidation,WI,4.89,0.0,1.0,4.0,0.0,1450.0,0.9670000000000001,4.0,1.0
7853,4750.0,4750.0, 36 ,0.1459,163.71,4.0,3 years,RENT,14400.0,Not Verified,2010.0,small_business,FL,11.92,0.0,1.0,2.0,0.0,937.0,0.669,8.0,0.0
7854,16000.0,16000.0, 36 ,0.1075,521.93,2.0,7 years,MORTGAGE,117400.0,Verified,2010.0,debt_consolidation,MN,9.9,0.0,0.0,9.0,0.0,15955.0,0.684,17.0,1.0
7855,12000.0,12000.0, 36 ,0.0603,365.23,1.0,10+ years,OWN,98000.0,Source Verified,2011.0,debt_consolidation,GA,4.35,0.0,0.0,8.0,0.0,3576.0,0.0,22.0,1.0
7856,10000.0,10000.0, 36 ,0.0751,311.1,1.0,< 1 year,RENT,46000.0,Not Verified,2010.0,debt_consolidation,WA,11.17,0.0,0.0,8.0,0.0,9387.0,0.253,22.0,1.0
7857,12000.0,12000.0, 36 ,0.17489999999999997,430.77,4.0,< 1 year,OWN,36000.0,Verified,2011.0,debt_consolidation,TX,12.93,0.0,0.0,12.0,0.0,552.0,0.92,20.0,1.0
7859,2500.0,2500.0, 36 ,0.11710000000000001,82.69,2.0,< 1 year,RENT,24000.0,Not Verified,2011.0,debt_consolidation,UT,2.8,0.0,2.0,5.0,0.0,2018.0,0.42,8.0,1.0
7860,6000.0,6000.0, 36 ,0.07490000000000001,186.61,1.0,10+ years,MORTGAGE,52000.0,Not Verified,2011.0,home_improvement,GA,19.34,0.0,0.0,6.0,0.0,5046.0,0.5479999999999999,22.0,1.0
7861,10800.0,10800.0, 36 ,0.15990000000000001,379.65,4.0,3 years,RENT,54000.0,Not Verified,2011.0,debt_consolidation,CA,17.42,0.0,0.0,9.0,1.0,8593.0,0.966,14.0,0.0
7862,1200.0,1200.0, 36 ,0.11710000000000001,39.7,2.0,8 years,RENT,58700.0,Source Verified,2011.0,debt_consolidation,OH,12.76,0.0,0.0,4.0,0.0,9872.0,0.8440000000000001,7.0,1.0
7864,25000.0,25000.0, 36 ,0.1038,811.15,2.0,2 years,RENT,65000.0,Source Verified,2010.0,credit_card,CA,13.22,0.0,0.0,10.0,0.0,24572.0,0.34,21.0,1.0
7866,7000.0,7000.0, 36 ,0.0788,218.97,1.0,2 years,MORTGAGE,66996.0,Not Verified,2010.0,home_improvement,PA,21.14,0.0,1.0,16.0,0.0,10780.0,0.369,40.0,1.0
7867,2500.0,2500.0, 36 ,0.1435,85.87,3.0,7 years,RENT,73000.0,Verified,2010.0,major_purchase,CA,7.84,0.0,2.0,8.0,0.0,4001.0,0.875,14.0,1.0
7868,16000.0,16000.0, 36 ,0.10949999999999999,523.42,2.0,5 years,MORTGAGE,41004.0,Verified,2009.0,debt_consolidation,MO,17.0,0.0,1.0,10.0,0.0,1850.0,0.076,20.0,1.0
7869,2400.0,2400.0, 36 ,0.1411,82.15,4.0,3 years,RENT,21996.0,Not Verified,2009.0,debt_consolidation,UT,10.47,0.0,1.0,4.0,0.0,5873.0,0.932,22.0,1.0
7870,3600.0,3600.0, 36 ,0.1727,128.84,4.0,10+ years,MORTGAGE,23000.0,Not Verified,2011.0,debt_consolidation,OR,9.5,0.0,0.0,4.0,0.0,5424.0,0.861,5.0,0.0
7871,35000.0,35000.0, 60 ,0.18989999999999999,907.73,6.0,7 years,MORTGAGE,101837.28,Source Verified,2011.0,debt_consolidation,OH,13.27,0.0,0.0,14.0,0.0,21115.0,0.713,27.0,0.0
7872,3000.0,3000.0, 36 ,0.0599,91.26,1.0,10+ years,MORTGAGE,87600.0,Source Verified,2011.0,car,NY,16.67,0.0,0.0,22.0,0.0,69130.0,0.057,55.0,1.0
7873,11500.0,11500.0, 36 ,0.09630000000000001,369.08,2.0,4 years,MORTGAGE,50000.0,Not Verified,2011.0,small_business,TX,4.15,0.0,0.0,5.0,0.0,4268.0,0.736,5.0,0.0
7874,3000.0,3000.0, 36 ,0.0766,93.54,1.0,10+ years,RENT,53196.0,Not Verified,2011.0,car,CA,16.6,0.0,1.0,6.0,0.0,12833.0,0.897,21.0,1.0
7875,25000.0,25000.0, 36 ,0.1913,918.02,6.0,9 years,MORTGAGE,148000.0,Verified,2009.0,credit_card,AZ,18.54,1.0,1.0,9.0,0.0,46031.0,0.774,38.0,0.0
7876,12000.0,9150.0, 36 ,0.0654,280.61,1.0,8 years,RENT,115000.0,Verified,2010.0,debt_consolidation,CA,11.07,0.0,0.0,7.0,0.0,21504.0,0.45399999999999996,32.0,1.0
7877,12000.0,12000.0, 60 ,0.1298,272.92,3.0,8 years,OWN,96000.0,Verified,2010.0,debt_consolidation,PA,18.51,0.0,3.0,9.0,0.0,17005.0,0.8340000000000001,25.0,1.0
7878,3450.0,3450.0, 36 ,0.12689999999999999,115.73,2.0,8 years,RENT,14000.0,Verified,2011.0,credit_card,NY,16.71,0.0,0.0,5.0,0.0,6205.0,0.7390000000000001,10.0,1.0
7879,24250.0,24250.0, 60 ,0.1361,559.37,3.0,5 years,RENT,46560.0,Verified,2010.0,house,PA,18.97,0.0,0.0,5.0,0.0,9010.0,0.42700000000000005,10.0,0.0
7880,8400.0,8400.0, 36 ,0.1562,293.75,4.0,5 years,RENT,62004.0,Not Verified,2011.0,debt_consolidation,MO,13.93,0.0,0.0,9.0,0.0,7167.0,0.578,26.0,1.0
7881,10500.0,10500.0, 60 ,0.16690000000000002,259.21,5.0,6 years,MORTGAGE,60000.0,Source Verified,2010.0,wedding,CA,2.64,0.0,1.0,4.0,0.0,3541.0,0.9840000000000001,9.0,1.0
7882,12000.0,12000.0, 60 ,0.1595,291.5,4.0,10+ years,RENT,85000.0,Source Verified,2010.0,debt_consolidation,PA,13.33,0.0,3.0,13.0,0.0,22085.0,0.33299999999999996,19.0,1.0
7883,3000.0,3000.0, 36 ,0.0751,93.34,1.0,10+ years,MORTGAGE,58951.0,Not Verified,2010.0,other,PA,14.19,0.0,0.0,9.0,0.0,4325.0,0.349,27.0,1.0
7884,8000.0,8000.0, 36 ,0.1149,263.78,2.0,2 years,MORTGAGE,78420.0,Verified,2011.0,home_improvement,TX,4.13,0.0,2.0,12.0,0.0,0.0,0.0,30.0,1.0
7885,22000.0,15300.0, 60 ,0.16820000000000002,378.77,5.0,< 1 year,RENT,200000.0,Source Verified,2010.0,small_business,AR,18.04,0.0,3.0,12.0,0.0,52170.0,0.6679999999999999,49.0,0.0
7886,16800.0,16800.0, 36 ,0.17989999999999998,607.28,5.0,3 years,MORTGAGE,60000.0,Source Verified,2011.0,debt_consolidation,TX,19.98,0.0,3.0,11.0,0.0,17102.0,0.784,23.0,1.0
7887,10000.0,6300.0, 60 ,0.0691,124.49,1.0,8 years,MORTGAGE,48000.0,Not Verified,2010.0,home_improvement,MA,19.2,0.0,2.0,4.0,0.0,5448.0,0.545,20.0,1.0
7888,11000.0,11000.0, 36 ,0.09910000000000001,354.48,2.0,10+ years,RENT,60000.0,Source Verified,2011.0,debt_consolidation,OH,15.28,0.0,1.0,6.0,0.0,11887.0,0.445,17.0,1.0
7889,9000.0,9000.0, 36 ,0.1149,296.75,2.0,10+ years,MORTGAGE,35000.0,Verified,2011.0,debt_consolidation,NC,6.89,0.0,0.0,5.0,0.0,5355.0,0.552,17.0,1.0
7890,15000.0,15000.0, 36 ,0.13849999999999998,511.56,3.0,1 year,MORTGAGE,68553.0,Not Verified,2010.0,house,DC,15.68,1.0,3.0,6.0,0.0,2559.0,0.449,20.0,1.0
7891,10000.0,10000.0, 36 ,0.1531,348.16,4.0,10+ years,RENT,86000.0,Not Verified,2009.0,debt_consolidation,OH,16.33,0.0,1.0,22.0,1.0,17768.0,0.6579999999999999,28.0,1.0
7892,12000.0,12000.0, 60 ,0.1523,286.93,3.0,6 years,MORTGAGE,70000.0,Not Verified,2011.0,debt_consolidation,PA,20.57,0.0,1.0,9.0,0.0,16512.0,0.48,23.0,0.0
7893,23675.0,23675.0, 60 ,0.1677,585.47,4.0,2 years,MORTGAGE,41000.0,Verified,2011.0,debt_consolidation,CO,14.25,0.0,1.0,14.0,0.0,18692.0,0.625,32.0,1.0
7895,3200.0,3200.0, 36 ,0.1459,110.29,4.0,2 years,RENT,90000.0,Verified,2010.0,other,TX,24.87,0.0,3.0,15.0,0.0,1431.0,0.65,31.0,1.0
7896,8000.0,8000.0, 36 ,0.0788,250.25,1.0,4 years,OWN,40000.0,Not Verified,2010.0,debt_consolidation,NY,24.33,0.0,2.0,7.0,0.0,2668.0,0.141,21.0,1.0
7898,9000.0,9000.0, 36 ,0.09910000000000001,290.03,2.0,< 1 year,OWN,60000.0,Source Verified,2011.0,car,IL,8.88,0.0,2.0,4.0,0.0,0.0,0.0,18.0,1.0
7899,8000.0,8000.0, 60 ,0.1793,202.85,5.0,1 year,MORTGAGE,100000.0,Verified,2010.0,small_business,CA,7.25,1.0,3.0,9.0,0.0,5168.0,0.8759999999999999,44.0,1.0
7900,6250.0,6250.0, 60 ,0.16449999999999998,153.49,5.0,< 1 year,RENT,20000.0,Source Verified,2010.0,debt_consolidation,CA,16.92,0.0,0.0,7.0,0.0,7794.0,0.8290000000000001,14.0,1.0
7901,8500.0,8500.0, 36 ,0.0603,258.71,1.0,10+ years,MORTGAGE,80000.0,Verified,2011.0,car,OH,10.77,0.0,2.0,16.0,0.0,10213.0,0.109,47.0,1.0
7902,2500.0,2500.0, 36 ,0.1459,86.17,4.0,< 1 year,RENT,96000.0,Not Verified,2010.0,credit_card,CA,3.11,1.0,1.0,6.0,0.0,7271.0,0.8079999999999999,8.0,1.0
7903,25000.0,25000.0, 36 ,0.1677,888.46,5.0,1 year,RENT,104000.0,Verified,2011.0,debt_consolidation,VA,17.4,0.0,1.0,10.0,0.0,24289.0,0.879,20.0,1.0
7904,6000.0,6000.0, 60 ,0.1,127.49,2.0,10+ years,MORTGAGE,40800.0,Not Verified,2011.0,car,OH,8.88,0.0,1.0,15.0,0.0,606.0,0.01,23.0,1.0
7905,3000.0,3000.0, 36 ,0.1602,105.51,4.0,10+ years,RENT,84996.0,Verified,2011.0,major_purchase,CO,10.83,0.0,0.0,3.0,0.0,6465.0,0.98,5.0,1.0
7906,8000.0,8000.0, 36 ,0.0751,248.89,1.0,< 1 year,RENT,52000.0,Source Verified,2010.0,wedding,CA,12.74,0.0,5.0,9.0,0.0,1729.0,0.17,12.0,1.0
7907,2500.0,2500.0, 36 ,0.07400000000000001,77.65,1.0,< 1 year,RENT,25000.0,Not Verified,2009.0,moving,CO,20.02,0.0,0.0,11.0,0.0,11873.0,0.147,17.0,1.0
7908,9000.0,9000.0, 36 ,0.0849,284.07,1.0,2 years,MORTGAGE,75000.0,Source Verified,2011.0,debt_consolidation,OK,8.46,0.0,1.0,8.0,0.0,8748.0,0.603,35.0,1.0
7909,5000.0,5000.0, 36 ,0.157,175.06,4.0,10+ years,RENT,68000.0,Not Verified,2010.0,debt_consolidation,NY,8.93,1.0,2.0,7.0,0.0,5187.0,0.823,13.0,1.0
7910,15000.0,15000.0, 60 ,0.1793,380.34,5.0,10+ years,MORTGAGE,54000.0,Source Verified,2010.0,debt_consolidation,CO,19.69,0.0,3.0,11.0,0.0,15570.0,0.7709999999999999,20.0,1.0
7911,19000.0,19000.0, 36 ,0.1392,648.61,3.0,4 years,MORTGAGE,124000.0,Not Verified,2010.0,home_improvement,VA,11.17,0.0,0.0,7.0,0.0,22294.0,0.69,25.0,1.0
7912,15000.0,15000.0, 36 ,0.10369999999999999,486.62,2.0,7 years,RENT,68000.0,Not Verified,2011.0,debt_consolidation,NY,9.56,0.0,0.0,9.0,0.0,26541.0,0.488,19.0,1.0
7913,5500.0,5500.0, 36 ,0.1112,180.38,2.0,9 years,MORTGAGE,36396.0,Not Verified,2010.0,debt_consolidation,AR,3.13,0.0,0.0,7.0,0.0,3914.0,0.36200000000000004,16.0,1.0
7914,7000.0,7000.0, 36 ,0.0766,218.26,1.0,10+ years,RENT,38000.0,Verified,2011.0,moving,CA,0.32,0.0,0.0,4.0,0.0,460.0,0.051,21.0,1.0
7915,5500.0,5500.0, 36 ,0.07139999999999999,170.18,1.0,10+ years,RENT,50000.0,Not Verified,2010.0,debt_consolidation,CA,21.4,0.0,0.0,9.0,0.0,5642.0,0.267,40.0,1.0
7916,5400.0,5400.0, 36 ,0.1629,190.63,4.0,1 year,RENT,32000.0,Not Verified,2011.0,medical,GA,20.03,0.0,1.0,9.0,0.0,11114.0,0.8959999999999999,21.0,0.0
7917,11000.0,11000.0, 36 ,0.1075,358.83,2.0,2 years,RENT,48000.0,Not Verified,2010.0,credit_card,CA,15.2,0.0,0.0,10.0,0.0,11653.0,0.425,22.0,1.0
7918,12000.0,12000.0, 36 ,0.1199,398.52,2.0,5 years,RENT,40000.0,Source Verified,2011.0,debt_consolidation,FL,9.12,0.0,1.0,6.0,0.0,10506.0,0.42,27.0,1.0
7919,13000.0,13000.0, 36 ,0.1114,426.45,2.0,10+ years,RENT,36000.0,Source Verified,2009.0,other,GA,11.77,0.0,1.0,10.0,1.0,3636.0,0.07400000000000001,13.0,1.0
7920,1600.0,1600.0, 36 ,0.16690000000000002,56.8,5.0,3 years,RENT,25200.0,Source Verified,2010.0,major_purchase,CA,19.9,0.0,0.0,8.0,0.0,11330.0,0.985,15.0,1.0
7921,11000.0,11000.0, 36 ,0.0542,331.76,1.0,9 years,MORTGAGE,42000.0,Source Verified,2011.0,debt_consolidation,FL,8.43,0.0,0.0,6.0,0.0,28465.0,0.444,22.0,1.0
7922,15000.0,15000.0, 36 ,0.1422,514.27,3.0,10+ years,MORTGAGE,104004.0,Source Verified,2010.0,debt_consolidation,IL,23.66,1.0,0.0,12.0,0.0,76416.0,0.85,32.0,1.0
7924,19500.0,19500.0, 60 ,0.1677,482.22,4.0,10+ years,MORTGAGE,85470.0,Verified,2011.0,debt_consolidation,TX,20.04,0.0,0.0,14.0,0.0,19074.0,0.569,39.0,1.0
7925,13000.0,13000.0, 36 ,0.1348,441.04,3.0,3 years,MORTGAGE,51000.0,Source Verified,2010.0,debt_consolidation,CA,23.06,0.0,0.0,21.0,0.0,26925.0,0.5670000000000001,37.0,1.0
7926,10000.0,10000.0, 36 ,0.1059,325.45,2.0,unknown,OWN,20856.0,Verified,2011.0,house,IL,10.82,0.0,1.0,11.0,0.0,5752.0,0.21100000000000002,23.0,1.0
7927,22600.0,22600.0, 60 ,0.1864,581.79,5.0,6 years,RENT,200000.0,Source Verified,2011.0,small_business,CA,7.14,0.0,3.0,7.0,0.0,12189.0,0.7390000000000001,24.0,1.0
7928,12000.0,12000.0, 60 ,0.1929,313.21,5.0,4 years,MORTGAGE,64500.0,Source Verified,2011.0,car,WY,4.15,0.0,0.0,4.0,0.0,5444.0,0.825,12.0,1.0
7929,12000.0,12000.0, 36 ,0.0603,365.23,1.0,9 years,MORTGAGE,74000.0,Verified,2011.0,credit_card,NY,16.06,0.0,0.0,6.0,0.0,16179.0,0.364,24.0,1.0
7930,6000.0,6000.0, 60 ,0.183,153.35,6.0,< 1 year,RENT,100000.0,Verified,2010.0,moving,MI,6.43,0.0,1.0,6.0,0.0,5727.0,0.431,7.0,1.0
7931,15000.0,15000.0, 36 ,0.079,469.36,1.0,9 years,MORTGAGE,90000.0,Verified,2011.0,other,MD,9.95,0.0,2.0,12.0,0.0,8238.0,0.172,33.0,1.0
7932,16000.0,10475.0, 60 ,0.1991,277.0,5.0,1 year,RENT,70000.0,Source Verified,2011.0,debt_consolidation,DC,10.71,0.0,0.0,4.0,0.0,32749.0,0.9690000000000001,4.0,1.0
7933,3000.0,3000.0, 36 ,0.0542,90.48,1.0,7 years,MORTGAGE,68000.0,Not Verified,2011.0,car,GA,1.45,0.0,1.0,8.0,0.0,3531.0,0.068,25.0,1.0
7934,18250.0,18250.0, 36 ,0.1426,626.08,3.0,8 years,RENT,52000.0,Not Verified,2009.0,debt_consolidation,FL,23.12,0.0,0.0,18.0,0.0,13882.0,0.6940000000000001,42.0,0.0
7935,10000.0,6925.0, 60 ,0.0617,134.43,1.0,5 years,RENT,60000.0,Not Verified,2010.0,major_purchase,NC,10.7,0.0,0.0,6.0,0.0,714.0,0.048,19.0,1.0
7936,15000.0,15000.0, 36 ,0.12179999999999999,499.5,2.0,10+ years,RENT,110000.0,Verified,2009.0,debt_consolidation,NY,5.78,0.0,0.0,9.0,0.0,33436.0,0.506,31.0,1.0
7937,25000.0,25000.0, 60 ,0.17579999999999998,629.14,4.0,2 years,MORTGAGE,73600.0,Verified,2011.0,debt_consolidation,MI,9.59,0.0,0.0,8.0,0.0,26224.0,0.568,22.0,1.0
7938,8000.0,8000.0, 36 ,0.1484,276.7,4.0,10+ years,MORTGAGE,95000.0,Not Verified,2010.0,vacation,MO,20.21,0.0,0.0,21.0,0.0,43718.0,0.938,55.0,1.0
7939,18000.0,18000.0, 36 ,0.1183,596.41,2.0,3 years,MORTGAGE,40000.0,Not Verified,2009.0,debt_consolidation,CA,12.42,0.0,0.0,5.0,0.0,7658.0,0.36,8.0,1.0
7940,9600.0,9600.0, 36 ,0.10949999999999999,314.06,2.0,10+ years,MORTGAGE,78000.0,Not Verified,2009.0,home_improvement,MT,8.74,1.0,0.0,8.0,0.0,10993.0,0.205,25.0,1.0
7941,5000.0,5000.0, 36 ,0.12990000000000002,168.45,3.0,2 years,OWN,38000.0,Not Verified,2011.0,debt_consolidation,MN,24.51,0.0,0.0,20.0,0.0,17235.0,0.9520000000000001,26.0,0.0
7942,6625.0,6625.0, 36 ,0.1038,214.96,2.0,4 years,RENT,51000.0,Source Verified,2010.0,debt_consolidation,NY,6.19,0.0,0.0,4.0,0.0,5400.0,0.659,18.0,1.0
7943,9950.0,9950.0, 36 ,0.0849,314.06,1.0,1 year,RENT,30000.0,Source Verified,2011.0,credit_card,WA,23.28,0.0,1.0,6.0,0.0,14522.0,0.583,10.0,1.0
7944,10000.0,10000.0, 36 ,0.0859,316.11,1.0,5 years,RENT,102000.0,Not Verified,2009.0,other,CA,9.33,0.0,0.0,7.0,0.0,2890.0,0.047,16.0,1.0
7945,7600.0,7600.0, 36 ,0.1459,261.94,4.0,10+ years,RENT,51000.0,Not Verified,2010.0,debt_consolidation,OR,17.29,0.0,0.0,9.0,0.0,10554.0,0.8640000000000001,22.0,1.0
7946,12000.0,12000.0, 60 ,0.15960000000000002,291.57,3.0,1 year,RENT,31200.0,Verified,2011.0,house,MN,13.31,0.0,2.0,3.0,0.0,2796.0,0.932,8.0,0.0
7947,11000.0,11000.0, 36 ,0.07490000000000001,342.12,1.0,3 years,RENT,55000.0,Not Verified,2011.0,debt_consolidation,CO,20.25,0.0,0.0,5.0,0.0,0.0,0.0,21.0,1.0
